module	class	vm	rc	state	wall_s	tests	fail	note
server-spi-private	org.keycloak.http.simple.SimpleHttpTest$RequestConsideringEncodingTest	cratonvm	0	PASS	3.8	10	0	
server-spi-private	org.keycloak.http.simple.SimpleHttpTest$RequestConsideringEncodingTest	hotspot	0	PASS	1.1	10	0	-
server-spi-private	org.keycloak.http.simple.SimpleHttpTest$ResponseConsideringCharsetTest	cratonvm	0	PASS	3.2	4	0	
server-spi-private	org.keycloak.http.simple.SimpleHttpTest$ResponseConsideringCharsetTest	hotspot	0	PASS	0.8	4	0	-
server-spi-private	org.keycloak.models.BrowserSecurityHeadersTest	cratonvm	0	PASS	2.6	3	0	
server-spi-private	org.keycloak.models.BrowserSecurityHeadersTest	hotspot	0	PASS	0.5	3	0	-
server-spi-private	org.keycloak.models.CredentialModelBackwardsCompatibilityTest	cratonvm	0	PASS	4.9	4	0	
server-spi-private	org.keycloak.models.CredentialModelBackwardsCompatibilityTest	hotspot	0	PASS	1.1	4	0	-
server-spi-private	org.keycloak.models.HmacTest	cratonvm	0	PASS	2.5	1	0	
server-spi-private	org.keycloak.models.HmacTest	hotspot	0	PASS	0.6	1	0	-
server-spi-private	org.keycloak.models.KeycloakModelUtilsTest	cratonvm	0	PASS	2.6	9	0	
server-spi-private	org.keycloak.models.KeycloakModelUtilsTest	hotspot	0	PASS	0.6	9	0	-
server-spi-private	org.keycloak.models.KeycloakModelUtilsTest$GroupAdapterTest	cratonvm	1	FAIL	2.5	1	1	1) initializationError(org.keycloak.models.KeycloakModelUtilsTest$GroupAdapterTest)
server-spi-private	org.keycloak.models.KeycloakModelUtilsTest$GroupAdapterTest	hotspot	1	FAIL	0.5	1	1	-
server-spi-private	org.keycloak.models.KeycloakModelUtilsTest$OrganizationModelTest	cratonvm	1	FAIL	2.4	1	1	1) initializationError(org.keycloak.models.KeycloakModelUtilsTest$OrganizationModelTest)
server-spi-private	org.keycloak.models.KeycloakModelUtilsTest$OrganizationModelTest	hotspot	1	FAIL	0.5	1	1	-
server-spi-private	org.keycloak.models.ModelVersionTest	cratonvm	0	PASS	2.5	1	0	
server-spi-private	org.keycloak.models.ModelVersionTest	hotspot	0	PASS	0.6	1	0	-
server-spi-private	org.keycloak.models.TotpTest	cratonvm	0	PASS	3.4	4	0	
server-spi-private	org.keycloak.models.TotpTest	hotspot	0	PASS	1.0	4	0	-
server-spi-private	org.keycloak.models.utils.KeycloakModelUtilsTest	cratonvm	0	PASS	2.5	2	0	
server-spi-private	org.keycloak.models.utils.KeycloakModelUtilsTest	hotspot	0	PASS	0.6	2	0	-
server-spi-private	org.keycloak.models.utils.SessionExpirationUtilsTest	cratonvm	0	PASS	3.0	8	0	
server-spi-private	org.keycloak.models.utils.SessionExpirationUtilsTest	hotspot	0	PASS	0.6	8	0	-
server-spi-private	org.keycloak.models.utils.StripSecretsUtilsTest	cratonvm	1	FAIL	2.8	9	2	1) stripRealm(org.keycloak.models.utils.StripSecretsUtilsTest)
server-spi-private	org.keycloak.models.utils.StripSecretsUtilsTest	hotspot	0	PASS	0.6	9	0	-
server-spi-private	org.keycloak.policy.DenylistPasswordPolicyProviderTest	cratonvm	1	FAIL	3.1	10	7	2026-06-14T04:19:28.105376Z  WARN cratonvm_vm::vm::vm_exec: NoSuchMethodError method="sun/nio/cs/StreamDecoder.read([BII)I"
server-spi-private	org.keycloak.policy.DenylistPasswordPolicyProviderTest	hotspot	1	FAIL	0.8	10	1	-
server-spi-private	org.keycloak.policy.NotEmailPasswordPolicyProviderTest	cratonvm	0	PASS	2.6	3	0	
server-spi-private	org.keycloak.policy.NotEmailPasswordPolicyProviderTest	hotspot	0	PASS	0.6	3	0	-
server-spi-private	org.keycloak.utils.StreamsUtilTest	cratonvm	1	FAIL	2.7	8	8	1) testAutoClosingOfClosingStreamFlatMap(org.keycloak.utils.StreamsUtilTest)
server-spi-private	org.keycloak.utils.StreamsUtilTest	hotspot	0	PASS	0.6	8	0	-
