# class	method	descriptor	kind	registered_by	bucket
java/lang/foreign/MemorySegment	setAtIndex	(Ljava/lang/foreign/ValueLayout;JLjava/lang/Object;)V	bridge	native-builtins/src/panama.rs:799	method-nowhere
java/lang/foreign/ValueLayout	ADDRESS	Ljava/lang/foreign/AddressLayout;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2199	method-nowhere
java/lang/foreign/ValueLayout	JAVA_BOOLEAN	Ljava/lang/foreign/ValueLayout$OfBoolean;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2136	method-nowhere
java/lang/foreign/ValueLayout	JAVA_BYTE	Ljava/lang/foreign/ValueLayout$OfByte;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2127	method-nowhere
java/lang/foreign/ValueLayout	JAVA_CHAR	Ljava/lang/foreign/ValueLayout$OfChar;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2145	method-nowhere
java/lang/foreign/ValueLayout	JAVA_DOUBLE	Ljava/lang/foreign/ValueLayout$OfDouble;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2190	method-nowhere
java/lang/foreign/ValueLayout	JAVA_FLOAT	Ljava/lang/foreign/ValueLayout$OfFloat;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2181	method-nowhere
java/lang/foreign/ValueLayout	JAVA_INT	Ljava/lang/foreign/ValueLayout$OfInt;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2163	method-nowhere
java/lang/foreign/ValueLayout	JAVA_LONG	Ljava/lang/foreign/ValueLayout$OfLong;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2172	method-nowhere
java/lang/foreign/ValueLayout	JAVA_SHORT	Ljava/lang/foreign/ValueLayout$OfShort;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2154	method-nowhere
java/lang/invoke/MethodHandleImpl$1	findMethodHandleType	(Ljava/lang/Class;[Ljava/lang/Class;)Ljava/lang/invoke/MethodType;	bridge	native-builtins/src/shared_secrets_bridge.rs:1600	method-nowhere
java/lang/invoke/MethodHandleImpl$1	linkMethodHandleConstant	(Ljava/lang/Class;ILjava/lang/Class;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/invoke/MethodHandle;	bridge	native-builtins/src/shared_secrets_bridge.rs:1606	method-nowhere
